type,id,Action status 
url,https://divicowest.com/7b47af0ea34376097b9cc1388c183ab465b12d5838cb6PAS7b47af0ea34376097b9cc1388c183ab465b12d5838cb7,Block
relationship,Network location,Block
domain,divicowest.com,Block
relationship,Last serving ip address,Block
ip_address,172.67.220.98,Block
relationship,Resolutions,Block
ip_address,104.21.78.109,Monitor
ip_address,91.195.240.123,Block
ip_address,69.172.201.217,Block
ip_address,79.125.118.219,Monitor
ip_address,54.228.231.16,Monitor
ip_address,46.137.81.225,Monitor
ip_address,54.246.123.138,Monitor
file,051a94f833646eb645e122819665c4c16486c2d71b8d9c43ae26a1aaa91a45ac,Block
file,0c6521cd5ca9a486c934fe656c56a24f8f81a45dd3bbaca3d9d57cdda40be000,Block
file,138a1c65097101085c572d37bd416407cb25d236b5583e22c6cfab0777af6ca2,Block
file,1c262c401582142d0fb7e6d18675efcfb1d2ddcc8060be91223a317b096f9d21,Block
file,229c978cc07b5ddda648b4153ebf441bcdd1202a882da034060c5e08be5935a6,Block
file,235fe11ba9266e37cb3ec09443bcd9655e477a3ddac26b106164bf70db33d508,Block
file,2c4a22c285d089236012548e0d1d4c3a24135afce279cb044ae679fc649d28ce,Block
file,2cceaff58ab3d49f8cbc79d5579013afccc62ef7392ebc074e7fe04f33122f34,Block
file,2e0483c61de9195ef9ca5cc8a9f3eaf052cb545b7c55843e8a8aff9355baa48e,Block
file,32862bb997a0e1498f9b53719373cbdbecfc0e9eaa3c8e07f725c64c5293951d,Block
file,3538ebce10ee317e4582ea4291a6b591e2d520181f19d1433b77813809e14183,Block
file,36c35335f6e8f436cc665df133663f85dc91b6b62ef2817479deafb5311fd348,Block
file,397783db94b36ec8ae77928433d1814261a966f9b51d669daf3a1f4b7459db35,Block
file,419dc278a4e53fb8229880e1eb25edab4aaec89aa70d3fa2603a6d7a5a477fbe,Block
file,4761085c8cc20480542c5121a29b8e8774ed0bd4e7736fec06096a1ed948c4e2,Block
file,496e61d4c233d1edaf1cbf6a84a6f924672f16fd255719a0c4737983c2bcd779,Block
file,501d62cd45f725ea77eb0315e14e8c0f37740fa7be7f3778d9df3830b402e7dd,Block
file,50b124dafba508b1cba5d4c0e35af10a7545325e09ab952fc01f97230339f6d1,Block
file,5c70c07d709e9522fadf5e74ab2814648037b21c2f32eb275d5174678f032b0e,Block
file,65b1f3d1749ed125f7d201063f0b71e67e21d3c1440ccdf6b1a4b00496a2d4d7,Block
